Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5
30/03/2024,Team Q,Team L,0,0,D,1.43,9.5,3.46,4.5,1.2
30/03/2024,Team A,Team O,0,2,A,1.83,9.5,2.1,1.51,2.56
30/03/2024,Team I,Team P,2,0,H,1.51,9.5,2.85,2.03,1.78
06/04/2024,Team D,Team B,2,0,H,2.01,9.5,1.92,1.61,2.31
06/04/2024,Team I,Team S,0,0,D,1.5,9.5,2.81,1.48,2.66
06/04/2024,Team J,Team R,0,2,A,2.32,9.5,1.7,1.6,2.34
06/04/2024,Team T,Team Q,2,3,A,2.14,9.5,1.83,1.97,1.84
06/04/2024,Team J,Team T,1,2,A,1.65,9.5,2.42,1.51,2.57
06/04/2024,Team J,Team D,0,0,D,1.81,9.5,2.2,2.64,1.49
06/04/2024,Team C,Team N,2,4,A,1.42,9.5,3.29,2.56,1.51
06/04/2024,Team C,Team R,0,0,D,1.84,9.5,2.18,3.01,1.39
06/04/2024,Team M,Team Q,2,3,A,1.38,9.5,3.43,1.98,1.82
06/04/2024,Team Q,Team P,1,0,H,1.98,9.5,1.94,1.53,2.49
13/04/2024,Team K,Team B,4,2,H,2.1,9.5,1.84,1.71,2.13
13/04/2024,Team P,Team I,1,0,H,2.45,9.5,1.66,2.24,1.65
13/04/2024,Team I,Team J,1,1,D,1.53,9.5,2.74,1.77,2.05
13/04/2024,Team Q,Team J,1,0,H,1.6,9.5,2.55,1.77,2.05
13/04/2024,Team O,Team K,1,3,A,1.46,9.5,2.96,1.5,2.58
13/04/2024,Team N,Team F,1,1,D,1.5,9.5,2.94,2.35,1.59
13/04/2024,Team M,Team H,0,6,A,1.7,9.5,2.34,1.82,1.98
13/04/2024,Team S,Team C,1,0,H,2.18,9.5,1.81,2.26,1.64
13/04/2024,Team C,Team L,0,4,A,1.94,9.5,2.04,2.53,1.52
13/04/2024,Team B,Team D,2,0,H,1.47,9.5,3.02,2.2,1.67
20/04/2024,Team R,Team H,3,0,H,1.44,9.5,3.14,2.02,1.8
20/04/2024,Team E,Team M,1,0,H,1.62,9.5,2.56,2.57,1.51
20/04/2024,Team S,Team R,1,0,H,1.89,9.5,2.04,1.62,2.3
20/04/2024,Team H,Team T,2,3,A,2.57,9.5,1.63,2.99,1.39
20/04/2024,Team F,Team E,0,1,A,1.58,9.5,2.61,1.92,1.89
20/04/2024,Team H,Team R,0,0,D,1.19,9.5,9.5,4.66,1.19
20/04/2024,Team Q,Team E,1,4,A,1.55,9.5,2.67,1.52,2.52
20/04/2024,Team N,Team K,2,1,H,1.65,9.5,2.44,1.87,1.93
20/04/2024,Team S,Team B,0,0,D,2.05,9.5,1.93,2.43,1.56
20/04/2024,Team G,Team R,1,0,H,1.6,9.5,2.62,2.47,1.54
27/04/2024,Team S,Team G,3,1,H,1.52,9.5,2.75,1.5,2.58
27/04/2024,Team L,Team F,1,4,A,1.7,9.5,2.32,1.57,2.41
27/04/2024,Team G,Team I,0,2,A,1.66,9.5,2.38,1.39,2.99
27/04/2024,Team T,Team S,1,1,D,1.9,9.5,2.02,1.51,2.56
27/04/2024,Team B,Team C,1,1,D,1.43,9.5,3.15,1.86,1.94
27/04/2024,Team J,Team S,4,3,H,1.61,9.5,2.54,1.77,2.05
27/04/2024,Team D,Team P,1,4,A,1.92,9.5,2.03,1.87,1.93
27/04/2024,Team F,Team M,1,2,A,1.84,9.5,2.11,1.72,2.13
27/04/2024,Team O,Team E,1,3,A,1.81,9.5,2.16,1.78,2.04
27/04/2024,Team F,Team I,3,1,H,1.69,9.5,2.43,2.8,1.44
